,q_year,request_status,fuel,NAME,state,$2022_poi_cost/kw,$2022_network_cost/kw,$2022_total_cost/kw,nameplate_mw,lat,lon
110,2010,Complete,Wind Onshore,hardin,OH,0.437201928,16.04018675,16.47738868,66.7,40.66015413672488,-83.65929931306782
111,2010,Complete,Wind Onshore,pasquotank,NC,2.246413901,20.64418378,22.89059768,208.0,36.2672379808793,-76.25134778004112
112,2011,Complete,Biomass,campbell,VA,0.0,0.0,0.0,60.0,37.20551977530489,-79.09674063315872
113,2011,Complete,Natural Gas,brunswick,VA,1.188237919,60.94136314,62.12960106,1525.5,36.76366948757138,-77.85934360464023
114,2011,Complete,Natural Gas,franklin,VA,0.769180242,0.0,0.769180242,70.0,36.989244958418766,-79.84651804871298
115,2011,Complete,Other,new castle,DE,0.0,20.72183172,20.72183172,24.9,39.57992633474786,-75.64054971710857
116,2011,Complete,Solar,anne arundel,MD,178.5368049,0.0,178.5368049,20.0,39.006687855484024,-76.603279337909
117,2011,Complete,Solar,warren,NJ,0.0,78.70504492,78.70504492,8.0,40.85951348974019,-74.99556359608188
118,2011,Complete,Solar,washington,MD,8.261804503,18.43842425,26.70022875,20.0,39.60680916878638,-77.81714715804434
119,2011,Complete,Wind Offshore,cape may,NJ,63.33872244,0.0,63.33872244,25.0,39.14963788549348,-74.80126369498831
120,2011,Complete,Wind Onshore,logan,IL,0.0,19.91313821,19.91313821,250.0,40.125786704900676,-89.36637493650926
121,2012,Complete,Biomass,covington,VA,6.929612642,0.0,6.929612642,50.0,37.778206861579974,-79.98573507080917
122,2012,Complete,Hydro,pleasants,WV,0.0,0.0,0.0,43.2,39.370945236881674,-81.16770317080163
123,2012,Complete,Natural Gas,cape may,NJ,0.794905447,0.0,0.794905447,447.0,39.14963788549348,-74.80126369498831
124,2012,Complete,Natural Gas,carroll,OH,2.84840827,0.0,2.84840827,742.0,40.578929736885264,-81.09182162164932
125,2012,Complete,Natural Gas,hamilton,OH,0.0,0.0,0.0,20.0,39.19673426581369,-84.54503248506578
126,2012,Complete,Natural Gas,loudoun,VA,0.0,4.820340693,4.820340693,800.0,39.089900829411484,-77.63481877300728
127,2012,Complete,Natural Gas,prince george's,MD,0.0,12.38065232,12.38065232,735.5,38.8307003862769,-76.84964410063907
128,2012,Complete,Natural Gas,union,NJ,5.604195975,0.0,5.604195975,17.9,40.658346468852024,-74.30673355564731
129,2012,Complete,Wind Onshore,somerset,PA,0.0,48.96710312,48.96710312,38.3,39.971626711763534,-79.02670353570272
130,2013,Active,Natural Gas,middlesex,NJ,0.0,8.190435939,8.190435939,675.0,40.43629878563545,-74.41426990787589
131,2013,Complete,Natural Gas,beaver,PA,3.934729485,4.858097876,8.792827361,205.0,40.68266485842424,-80.3497059785092
132,2013,Complete,Natural Gas,butler,OH,18.83474054,26.3931283,45.22786883,513.0,39.44012838380084,-84.57388716390807
133,2013,Complete,Natural Gas,cecil,MD,0.598238517,0.0,0.598238517,1000.0,39.56654282903454,-75.9462805630748
134,2013,Complete,Natural Gas,greensville,VA,2.12250259,103.2246739,105.3471765,1681.0,36.678788366115086,-77.56351483408933
135,2013,Complete,Solar,gloucester,NJ,126.4176025,0.0,126.4176025,3.8,39.71581066715018,-75.13995546360321
136,2013,Complete,Solar,northampton,VA,23.09801225,5.774503061,28.87251531,20.0,37.340629327278585,-75.87751590729266
137,2013,Complete,Wind Onshore,perquimans,NC,5.446150763,37.89674371,43.34289447,189.0,36.178474526652884,-76.40603143158852
138,2013,Withdrawn,Wind Offshore,cuyahoga,OH,0.0,0.0,0.0,18.0,41.42411899591559,-81.65918338943528
139,2014,Complete,Natural Gas,berks,PA,0.024567299,0.0,0.024567299,591.1,40.415513885458935,-75.92318432832333
140,2014,Complete,Natural Gas,bucks,PA,0.0,0.0,0.0,1342.0,40.33740169842376,-75.10876275997953
141,2014,Complete,Natural Gas,clinton,PA,0.0,16.33687624,16.33687624,463.0,41.23284761699168,-77.63656491938518
142,2014,Complete,Natural Gas,columbiana,OH,0.0,6.413493752,6.413493752,1152.0,40.76665334843698,-80.7775784769779
143,2014,Complete,Natural Gas,hanover,VA,3.309273035,4.851969811,8.161242845,340.0,37.75956699353723,-77.49076271638765
144,2014,Complete,Natural Gas,lawrence,PA,0.0,5.153111826,5.153111826,1000.0,40.992055210701075,-80.33391572813817
145,2014,Complete,Natural Gas,livingston,IL,0.429865922,0.0,0.429865922,13.3,40.8919034282341,-88.55782233496889
146,2014,Complete,Natural Gas,luzerne,PA,0.0,5.462636174,5.462636174,1050.0,41.178216994691475,-75.98501490463924
147,2014,Complete,Natural Gas,salem,NJ,6.448820572,6.287140178,12.73596075,529.0,39.587173035126,-75.34691254003255
148,2014,Complete,Solar,accomack,VA,28.18431003,140.2288985,168.4132086,20.0,37.767071606791944,-75.63234614927413
149,2014,Complete,Solar,burlington,NJ,0.0,0.0,0.0,13.0,39.87681868389571,-74.66931432550099
150,2014,Complete,Solar,edgecombe,NC,0.289620201,19.05347812,19.34309832,80.0,35.912306386033556,-77.59436892095293
151,2014,Complete,Solar,frederick,MD,0.0,33.04298974,33.04298974,9.0,39.472673447470996,-77.39779097494278
152,2014,Complete,Solar,hertford,NC,8.836199194,37.21770112,46.05390031,80.0,36.36077550167844,-76.98104133503753
153,2014,Complete,Solar,martin,NC,19.67457886,34.45815362,54.13273248,15.0,35.84326733727979,-77.10860251042143
154,2014,Complete,Solar,northampton,NC,7.086532802,76.14919973,83.23573254,74.9,36.41735801937875,-77.39760075919797
155,2014,Complete,Solar,pasquotank,NC,10.88751361,22.56261746,33.45013107,20.0,36.2672379808793,-76.25134778004112
156,2014,Complete,Storage,allegheny,PA,0.0,1.040460461,1.040460461,11.0,40.47039916642533,-79.98554138705339
157,2014,Complete,Storage,monmouth,NJ,24.81807513,0.0,24.81807513,20.0,40.265496989487794,-74.22240686446654
158,2014,Complete,Storage,somerset,PA,0.0,0.0,0.0,48.0,39.971626711763534,-79.02670353570272
159,2014,Complete,Wind Onshore,cambria,PA,0.0,0.0,0.0,30.0,40.49418529767057,-78.71788306010968
160,2014,Complete,Wind Onshore,livingston,IL,4.6542372545,31.265709135,35.91994639,350.0,40.8919034282341,-88.55782233496889
161,2015,Active,Natural Gas,clinton,PA,0.0,7.825728649,7.825728649,504.0,41.23284761699168,-77.63656491938518
162,2015,Active,Natural Gas,lucas,OH,0.795108987,6.810837201,7.605946188,955.0,41.6210128969662,-83.65478636967202
163,2015,Active,Storage,luzerne,PA,40.59184186,13.45883351,54.05067537,20.0,41.178216994691475,-75.98501490463924
164,2015,Complete,Natural Gas,allegheny,PA,1.024916469,27.68761931,28.71253578,541.0,40.47039916642533,-79.98554138705339
165,2015,Complete,Natural Gas,bradford,PA,12.77154512,45.20433048,57.9758756,19.9,41.78869214971548,-76.51570821597372
166,2015,Complete,Natural Gas,buckingham,VA,0.0,0.0,0.0,682.0,37.57242230623772,-78.52518843034474
167,2015,Complete,Natural Gas,cass,MI,20.9234362,3.431688415,24.35512461,994.0,41.91522292207857,-85.99405726900842
168,2015,Complete,Natural Gas,clearfield,PA,0.0,0.019380396,0.019380396,590.0,41.00110781695726,-78.47592663471657
169,2015,Complete,Natural Gas,fayette,PA,0.0,0.020569023,0.020569023,706.0,39.91812936845464,-79.64393640227142
170,2015,Complete,Natural Gas,middlesex,NJ,5.336740009,7.71220331,13.04894332,568.0,40.43629878563545,-74.41426990787589
171,2015,Complete,Natural Gas,trumbull,OH,0.0,3.965474189,3.965474189,956.5,41.317350279235505,-80.76109643384082
172,2015,Complete,Solar,edgecombe,NC,6.719604903,87.38445287,94.10405777,80.0,35.912306386033556,-77.59436892095293
173,2015,Complete,Solar,franklin,PA,3.446802662,8.37041505,11.81721771,40.0,39.92956518216588,-77.7215779078095
174,2015,Complete,Solar,northampton,NC,19.53064539,1.337435011,20.8680804,120.0,36.41735801937875,-77.39760075919797
175,2015,Complete,Solar,queen anne's,MD,0.0,127.5245241,127.5245241,4.0,39.06198912381182,-76.03530977238574
176,2015,Complete,Solar,southampton,VA,6.700156297,83.61169127,90.31184756,100.0,36.7223112518913,-77.10642711858938
177,2015,Complete,Solar,washington,NC,7.818406042,22.83008101,30.64848705,80.0,35.83810080534542,-76.57299037356401
178,2015,Complete,Solar Hybrid,essex,NJ,0.0,0.0,0.0,2.0,40.78645920593382,-74.2460966322243
179,2015,Complete,Storage,warren,NJ,25.2129259,0.737520962,25.95044686,20.0,40.85951348974019,-74.99556359608188
180,2015,Complete,Wind Offshore,sussex,DE,4.317354399,5.960006985,10.27736138,247.8,38.66143781232537,-75.39031349271507
181,2015,Complete,Wind Onshore,white,IN,0.0,0.219192538,0.219192538,200.0,40.74911164737052,-86.86492014962934
182,2015,Withdrawn,Natural Gas,lackawanna,PA,0.0,358.1390521,358.1390521,485.0,41.43547950758148,-75.60418146070248
183,2015,Withdrawn,Natural Gas,mason,KY,0.0,5.037669565,5.037669565,1150.0,38.594720146960924,-83.82151429850815
184,2015,Withdrawn,Natural Gas,snyder,PA,5.505314664,148.9244426,154.4297572,1030.0,40.77114873087213,-77.06884738908003
185,2015,Withdrawn,Natural Gas,washington,PA,0.0,4.931414396,4.931414396,1025.0,40.19184046385578,-80.2457704780798
186,2015,Withdrawn,Solar,southampton,VA,5.688032967,74.23901099,79.92704396,91.0,36.7223112518913,-77.10642711858938
