,q_year,q_status,cod_year,type_clean,mw1,region
158,2007.0,withdrawn,2011.0,Solar,400.0,CAISO
159,2007.0,operational,2014.0,Solar,210.0,CAISO
160,2007.0,withdrawn,2012.0,Gas,700.0,CAISO
161,2007.0,withdrawn,2011.0,Wind,1000.0,CAISO
162,2007.0,withdrawn,2011.0,Solar,212.0,CAISO
163,2007.0,withdrawn,2011.0,Solar,150.0,CAISO
164,2007.0,withdrawn,2011.0,Wind,500.0,CAISO
165,2007.0,withdrawn,2011.0,Gas,508.0,CAISO
166,2007.0,withdrawn,2011.0,Gas,50.0,CAISO
167,2007.0,withdrawn,2008.0,Wind,30.0,CAISO
168,2007.0,withdrawn,2008.0,Wind,650.0,CAISO
169,2007.0,withdrawn,2008.0,Gas,50.0,CAISO
170,2007.0,withdrawn,2011.0,Wind,100.0,CAISO
171,2007.0,withdrawn,2011.0,Wind,100.0,CAISO
172,2007.0,withdrawn,2010.0,Solar,300.0,CAISO
173,2007.0,withdrawn,2011.0,Gas,564.0,CAISO
174,2007.0,withdrawn,2010.0,Gas,400.0,CAISO
175,2007.0,withdrawn,2010.0,Solar,500.0,CAISO
176,2007.0,withdrawn,2009.0,Wind,300.0,CAISO
177,2007.0,withdrawn,2010.0,Geothermal,32.0,CAISO
178,2007.0,withdrawn,2011.0,Geothermal,150.0,CAISO
179,2007.0,withdrawn,2009.0,Gas,211.0,CAISO
180,2007.0,withdrawn,2011.0,Geothermal,50.0,CAISO
181,2007.0,operational,2015.0,Wind,198.0,CAISO
182,2007.0,operational,2019.0,Gas,106.0,CAISO
183,2007.0,withdrawn,2011.0,Gas,330.0,CAISO
184,2007.0,withdrawn,2010.0,Gas,315.0,CAISO
185,2007.0,withdrawn,2010.0,Gas,315.0,CAISO
186,2007.0,operational,2010.0,Solar+Battery,500.0,CAISO
187,2007.0,operational,2014.0,Solar,190.0,CAISO
188,2007.0,withdrawn,2013.0,Gas,725.0,CAISO
189,2007.0,withdrawn,2011.0,Gas,210.0,CAISO
190,2007.0,withdrawn,2011.0,Gas,315.0,CAISO
191,2007.0,withdrawn,2010.0,Gas,400.0,CAISO
192,2007.0,withdrawn,2009.0,Gas,50.0,CAISO
193,2007.0,withdrawn,2010.0,Gas,200.0,CAISO
194,2007.0,operational,2010.0,Gas,99.0,CAISO
195,2007.0,withdrawn,2013.0,Wind,199.0,CAISO
196,2007.0,withdrawn,2013.0,Wind,199.0,CAISO
197,2007.0,withdrawn,2013.0,Wind,149.0,CAISO
198,2007.0,withdrawn,2010.0,Solar,5.0,CAISO
199,2007.0,withdrawn,2013.0,Solar,200.0,CAISO
200,2007.0,withdrawn,2013.0,Gas,557.0,CAISO
201,2007.0,withdrawn,2008.0,Solar,2.0,CAISO
202,2007.0,withdrawn,2010.0,Wind,400.0,CAISO
203,2007.0,withdrawn,2012.0,Solar,500.0,CAISO
204,2007.0,withdrawn,2008.0,Wind,201.0,CAISO
205,2007.0,withdrawn,2010.0,Wind,50.0,CAISO
