index,q_year,request_status,fuel,NAME,state,$2022_poi_cost/kw,$2022_network_cost/kw,$2022_total_cost/kw,nameplate_mw,lat,lon
137,2013,Complete,Wind Onshore,perquimans,NC,5.446150763,37.89674371,43.34289447,189,36.17847453,-76.40603143
138,2013,Withdrawn,Wind Offshore,cuyahoga,OH,0,0,0,18,41.424119,-81.65918339
139,2014,Complete,Natural Gas,berks,PA,0.024567299,0,0.024567299,591.1,40.41551389,-75.92318433
140,2014,Complete,Natural Gas,bucks,PA,0,0,0,1342,40.3374017,-75.10876276
141,2014,Complete,Natural Gas,clinton,PA,0,16.33687624,16.33687624,463,41.23284762,-77.63656492
142,2014,Complete,Natural Gas,columbiana,OH,0,6.413493752,6.413493752,1152,40.76665335,-80.77757848
143,2014,Complete,Natural Gas,hanover,VA,3.309273035,4.851969811,8.161242845,340,37.75956699,-77.49076272
144,2014,Complete,Natural Gas,lawrence,PA,0,5.153111826,5.153111826,1000,40.99205521,-80.33391573
145,2014,Complete,Natural Gas,livingston,IL,0.429865922,0,0.429865922,13.3,40.89190343,-88.55782233
146,2014,Complete,Natural Gas,luzerne,PA,0,5.462636174,5.462636174,1050,41.17821699,-75.9850149
147,2014,Complete,Natural Gas,salem,NJ,6.448820572,6.287140178,12.73596075,529,39.58717304,-75.34691254
148,2014,Complete,Solar,accomack,VA,28.18431003,140.2288985,168.4132086,20,37.76707161,-75.63234615
149,2014,Complete,Solar,burlington,NJ,0,0,0,13,39.87681868,-74.66931433
150,2014,Complete,Solar,edgecombe,NC,0.289620201,19.05347812,19.34309832,80,35.91230639,-77.59436892
151,2014,Complete,Solar,frederick,MD,0,33.04298974,33.04298974,9,39.47267345,-77.39779097
152,2014,Complete,Solar,hertford,NC,8.836199194,37.21770112,46.05390031,80,36.3607755,-76.98104134
153,2014,Complete,Solar,martin,NC,19.67457886,34.45815362,54.13273248,15,35.84326734,-77.10860251
154,2014,Complete,Solar,northampton,NC,7.086532802,76.14919973,83.23573254,74.9,36.41735802,-77.39760076
155,2014,Complete,Solar,pasquotank,NC,10.88751361,22.56261746,33.45013107,20,36.26723798,-76.25134778
156,2014,Complete,Storage,allegheny,PA,0,1.040460461,1.040460461,11,40.47039917,-79.98554139
157,2014,Complete,Storage,monmouth,NJ,24.81807513,0,24.81807513,20,40.26549699,-74.22240686
158,2014,Complete,Storage,somerset,PA,0,0,0,48,39.97162671,-79.02670354
159,2014,Complete,Wind Onshore,cambria,PA,0,0,0,30,40.4941853,-78.71788306
160,2014,Complete,Wind Onshore,livingston,IL,4.654237255,31.26570914,35.91994639,350,40.89190343,-88.55782233
161,2015,Active,Natural Gas,clinton,PA,0,7.825728649,7.825728649,504,41.23284762,-77.63656492
162,2015,Active,Natural Gas,lucas,OH,0.795108987,6.810837201,7.605946188,955,41.6210129,-83.65478637
163,2015,Active,Storage,luzerne,PA,40.59184186,13.45883351,54.05067537,20,41.17821699,-75.9850149
164,2015,Complete,Natural Gas,allegheny,PA,1.024916469,27.68761931,28.71253578,541,40.47039917,-79.98554139
165,2015,Complete,Natural Gas,bradford,PA,12.77154512,45.20433048,57.9758756,19.9,41.78869215,-76.51570822
166,2015,Complete,Natural Gas,buckingham,VA,0,0,0,682,37.57242231,-78.52518843
167,2015,Complete,Natural Gas,cass,MI,20.9234362,3.431688415,24.35512461,994,41.91522292,-85.99405727
168,2015,Complete,Natural Gas,clearfield,PA,0,0.019380396,0.019380396,590,41.00110782,-78.47592663
169,2015,Complete,Natural Gas,fayette,PA,0,0.020569023,0.020569023,706,39.91812937,-79.6439364
170,2015,Complete,Natural Gas,middlesex,NJ,5.336740009,7.71220331,13.04894332,568,40.43629879,-74.41426991
171,2015,Complete,Natural Gas,trumbull,OH,0,3.965474189,3.965474189,956.5,41.31735028,-80.76109643
172,2015,Complete,Solar,edgecombe,NC,6.719604903,87.38445287,94.10405777,80,35.91230639,-77.59436892
173,2015,Complete,Solar,franklin,PA,3.446802662,8.37041505,11.81721771,40,39.92956518,-77.72157791
174,2015,Complete,Solar,northampton,NC,19.53064539,1.337435011,20.8680804,120,36.41735802,-77.39760076
175,2015,Complete,Solar,queen anne's,MD,0,127.5245241,127.5245241,4,39.06198912,-76.03530977
176,2015,Complete,Solar,southampton,VA,6.700156297,83.61169127,90.31184756,100,36.72231125,-77.10642712
177,2015,Complete,Solar,washington,NC,7.818406042,22.83008101,30.64848705,80,35.83810081,-76.57299037
178,2015,Complete,Solar Hybrid,essex,NJ,0,0,0,2,40.78645921,-74.24609663
179,2015,Complete,Storage,warren,NJ,25.2129259,0.737520962,25.95044686,20,40.85951349,-74.9955636
180,2015,Complete,Wind Offshore,sussex,DE,4.317354399,5.960006985,10.27736138,247.8,38.66143781,-75.39031349
181,2015,Complete,Wind Onshore,white,IN,0,0.219192538,0.219192538,200,40.74911165,-86.86492015
182,2015,Withdrawn,Natural Gas,lackawanna,PA,0,358.1390521,358.1390521,485,41.43547951,-75.60418146
183,2015,Withdrawn,Natural Gas,mason,KY,0,5.037669565,5.037669565,1150,38.59472015,-83.8215143
184,2015,Withdrawn,Natural Gas,snyder,PA,5.505314664,148.9244426,154.4297572,1030,40.77114873,-77.06884739
185,2015,Withdrawn,Natural Gas,washington,PA,0,4.931414396,4.931414396,1025,40.19184046,-80.24577048
186,2015,Withdrawn,Solar,southampton,VA,5.688032967,74.23901099,79.92704396,91,36.72231125,-77.10642712
187,2016,Active,Natural Gas,guernsey,OH,80.31413863,11.9619346,92.27607324,550,40.05026529,-81.49248905
188,2016,Active,Natural Gas,snyder,PA,0,0,0,1143,40.77114873,-77.06884739
189,2016,Active,Solar,adams,OH,22.92240574,25.45729225,48.37969799,49.9,38.84541072,-83.4718964
190,2016,Active,Solar,carbon,PA,0,2.92721498,2.92721498,10,40.91508025,-75.70908737
191,2016,Active,Solar,crawford,OH,42.73504274,25.21367521,67.94871795,117,40.85064565,-82.91989325
192,2016,Active,Solar,culpeper,VA,6.936239314,96.06032,102.9965593,160,38.48401706,-77.95862398
193,2016,Active,Solar,dinwiddie,VA,6.797585746,91.10810642,97.90569217,80,37.07544384,-77.6345015
194,2016,Active,Solar,halifax,VA,16.98911455,192.5097196,209.4988342,73.9,36.76654925,-78.93512622
195,2016,Active,Solar,hanover,VA,0,40.6818875,40.6818875,80,37.75956699,-77.49076272
196,2016,Active,Solar,hardin,OH,17.26376105,4.315940262,21.57970131,130,40.66015414,-83.65929931
197,2016,Active,Solar,hertford,NC,44.2692,149.7186,193.9878,5,36.3607755,-76.98104134
198,2016,Active,Solar,jackson,OH,78.28304934,31.31321973,109.5962691,70,39.01914254,-82.6181856
199,2016,Active,Solar,meigs,OH,2.543786495,32.19053921,34.7343257,48,39.09224872,-82.0305041
200,2016,Active,Solar,pitt,NC,0,36.7416875,36.7416875,80,35.59505651,-77.37395433
201,2016,Active,Solar,vinton,OH,1.00475217,27.89500217,28.89975434,125,39.25208988,-82.4831444
202,2016,Complete,Hydro,lynchburg,VA,0,0,0,12.5,37.40007824,-79.19884219
203,2016,Complete,Natural Gas,franklin,PA,0,0.950082316,0.950082316,15,39.92956518,-77.72157791
204,2016,Complete,Natural Gas,lebanon,PA,0.019001646,0,0.019001646,750,40.36586739,-76.45479658
205,2016,Complete,Natural Gas,monroe,OH,0,27.50175264,27.50175264,485,39.72994996,-81.07535715
